price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,yr_built,renovated
2384000,5,2.5,3650,9050,2,5,1921,0
490000,2,1,880,6380,1,3,1938,1
640000,4,2,1520,6200,1.5,3,1945,1
1400000,4,2.5,2920,4000,1.5,5,1909,1
365000,3,1,1090,6435,1,4,1955,1
1200000,5,2.75,2910,9480,1.5,3,1939,1
750000,3,1.75,2240,10578,2,5,1923,0
626000,3,2.25,1750,1572,2.5,3,2005,0
495000,4,1.75,1600,6380,1,3,1959,1
615000,3,1.75,2360,7291,1,4,1948,0
790000,3,2.5,2600,4750,1,4,1951,1
650000,4,2,1820,5000,1.5,3,1945,1
440000,2,1,800,4850,1,4,1944,0
750000,3,2.5,2390,6550,1,4,1955,1
439950,3,2.5,1770,2875,2,3,1990,1
235000,2,1,1210,9400,1,2,1949,0
445700,3,2.5,1270,1180,3,3,2001,0
805000,3,2,2710,4500,1.5,4,1929,0
385000,3,3.25,1320,1327,2,3,2008,0
295000,2,2.5,1630,1368,2,3,2009,0
553000,2,1,900,5000,1,3,1944,0
783500,3,2.5,2850,7130,2,3,1980,0
628000,4,2,2280,6010,1,3,1900,1
531000,2,3,1270,1175,2,3,2000,0
831000,4,3,2170,4000,2,4,1982,1
580000,2,1,2540,7000,1,5,1942,0
549000,2,1,1140,5400,1,5,1908,0
405000,2,3,1410,1240,2,3,2006,0
650000,3,1.5,2160,9000,1,4,1949,1
823000,6,1.75,2920,5000,2.5,4,1908,0
770000,3,2,2350,5700,1.5,4,1939,1
524000,3,1.75,1560,5520,1,4,1944,0
670000,3,2.5,1680,2000,3,3,1909,1
406100,3,2.25,1410,1332,3,3,2005,0
1395000,5,3.5,4010,8510,2,5,1971,0
435000,5,2,1840,9240,1,4,1942,1
4.00E+05,2,1,840,5510,1,3,1955,1
657100,4,1,1390,4240,1,3,1924,1
740000,4,1.75,2010,3600,1.5,3,1902,0
398750,3,2.5,2230,4000,2,3,1954,1
287000,3,1,1450,6000,1,4,1953,1
6.00E+05,3,1.75,1880,6360,1,4,1945,0
418000,3,2,1410,6030,1.5,4,1930,0
449250,4,2,1480,3844,1.5,5,1928,1
329950,2,1,1140,5250,1.5,4,1949,1
1425000,2,2.5,2220,4000,2,3,2000,0
585000,2,1,1770,8640,1.5,3,1949,1
618500,3,2,1800,5000,1,4,1942,1
631625,4,2.5,2440,6651,2,3,2014,0
340000,2,1.5,1160,1438,2,3,2001,0
366750,3,3,1571,2017,3,3,2008,0
416286,3,2.5,1408,989,3,3,2005,0
450000,2,2,1100,3000,1.5,3,1912,1
353000,3,1,1350,7740,1,4,1947,1
561000,3,2,2000,7000,2,3,1916,1
469000,2,1,1030,4400,1,3,1924,1
329350,2,1,720,6687,1,3,1942,1
488000,5,2,2020,5000,1.5,4,1938,0
312000,4,2,1300,7054,1,3,1950,1
650000,3,1.5,1630,7475,1,3,1940,1
1135000,4,2.75,3370,8103,1,3,1970,1
325000,4,2.5,1890,6156,1,3,1980,0
219000,2,1,900,5160,1,3,1952,1
460000,2,2.25,1230,929,2,3,2004,1
612500,4,2,2060,5000,1,3,1949,1
313950,3,1,1510,6083,1,4,1940,1
575000,3,1.75,2130,6500,1,3,1954,1
1225000,4,2.25,3490,6906,2,4,1928,0
365000,3,1.5,1310,8160,1,3,1950,1
1580000,4,3.25,3760,10920,1.5,5,1950,0
484000,2,1.75,1660,6000,1,3,1942,1
345000,3,1,1110,6250,1,3,1956,1
533000,5,2.75,1800,3780,1.5,3,1926,1
385000,3,1.75,1900,5520,1,3,1982,0
485000,3,2,1420,4080,1.5,3,1905,1
499000,2,1.75,1170,2400,1,4,1903,0
1050000,3,2.5,2200,1970,2,3,2008,0
5.00E+05,3,2.5,1480,1171,3,3,2006,0
390000,5,3.75,2890,5000,1,3,2006,0
979000,3,2.5,2690,4047,3,3,2014,0
369950,3,2,1270,1320,3,3,2006,0
519950,3,2.25,1170,1249,3,3,2014,0
495000,3,1,990,6000,1,3,1943,1
750000,3,2.75,2520,5401,1,4,1946,1
599999,9,4.5,3830,6988,2.5,3,1938,1
526000,2,2,1550,2400,1.5,4,1900,1
3200000,7,4.5,6210,8856,2.5,5,1910,0
